@relation MLDATA

@attribute CODE numeric
@attribute SMOKING numeric
@attribute OBESITY numeric
@attribute DRINKING numeric
@attribute LACK_FRUIT numeric
@attribute LACK_EXERCISE numeric
@attribute AGE65_OVER numeric
@attribute AGE25_44 numeric
@attribute EARLY_SCHOOL_LEAVERS numeric
@attribute LOW_INCOME_HOUSEHOLD numeric
@attribute HCC_HOLDER numeric
@attribute UNEMPLOYMENT numeric
@attribute RAC_PLACE numeric
@attribute CLIENTS_WITH_CARER numeric
@attribute TOTAL_CLIENTS numeric
@attribute DIABETES numeric
@attribute MENTAL_DISEASE numeric
@attribute PSYCHOLOGICAL_DISTRESS numeric
@attribute HYPERTENSION numeric
@attribute 'AIR_ POLLUTANTS' numeric
@attribute STROKE numeric

@data
29,8.420411,22.764971,22.714527,77.235029,51.137139,21.859706,19.967374,18.86549,26.524859,3.199284,3.700116,105.593403,26.25523,18.819579,2.472502,6.501027,7.592954,22.437592,0.342803,0.674895
30,12.130013,22.52757,18.296389,77.47243,60.858187,13.763188,31.268174,20.480547,28.394885,3.891792,4.920259,11.907387,22.358974,25.07991,3.45508,6.161695,8.852126,23.331775,0,0.768222
31,17.507904,35.193994,26.618122,64.806006,67.517635,23.578077,19.125891,32.001867,53.768465,7.545636,6.679012,35.75461,9.49464,28.704233,3.57501,10.750212,11.805515,23.285288,6.063211,0.775326
32,18.491265,35.797744,25.956333,64.202256,68.111996,25.788809,18.293367,30.160516,57.572362,10.215408,6.570213,48.027444,11.142857,34.375168,2.940494,10.714641,12.484151,23.283873,0,0.826367
33,15.378734,33.426947,19.914825,66.573053,59.990331,23.060115,22.539078,39.529622,45.262369,6.103585,6.19342,64.270905,9.517241,27.772368,4.600386,11.649986,11.995706,23.763684,0,1.007122
34,21.457013,36.72463,21.563612,63.27537,64.08031,24.951576,19.563303,43.511625,53.083794,7.355392,7.958873,0,5.691057,29.289674,4.561064,11.6916,14.180891,23.919008,0,0.753389
35,16.913526,24.062514,7.153471,75.937486,74.564156,14.652765,33.113014,24.041546,50.122489,7.81696,7.142857,78.643707,25.726496,22.933215,5.607033,4.606281,10.599586,23.638012,0,0.710344
36,23.355019,41.644181,14.80831,58.355819,70.868798,16.016523,28.118105,41.587591,56.995346,13.842583,10.923123,94.067797,15.252153,37.703828,6.527322,12.491765,16.137201,24.36709,1.176336,1.230473
37,22.902459,38.483033,13.75606,61.516967,72.787132,20.805942,24.423439,42.399538,60.025087,9.620275,11.195677,38.588754,14.68144,26.856612,6.450459,11.626913,15.630319,23.882764,0,1.232734
38,12.88645,31.060762,19.415946,68.939238,55.193199,34.571941,16.393962,26.245464,46.742857,4.663721,3.45079,61.241611,17.547569,23.502935,3.089921,7.834598,9.696652,23.04919,0,0.764009
39,12.684104,23.689153,7.670413,76.310847,70.742433,16.246935,32.953617,20.388101,39.618524,6.309665,4.904701,231.134314,18.518519,23.533807,4.985214,4.961332,9.813805,23.750594,0.028692,0.691783
40,15.816668,36.093344,19.694657,63.906656,57.76213,27.255148,20.419149,21.196088,49.667434,8.438416,6.413721,60.213195,12.860892,26.828261,3.347117,12.505756,12.491127,20.844112,0.00277,0.87188
41,14.665493,31.345695,6.713381,68.654305,74.806552,12.882407,33.798272,27.432109,42.246879,7.739002,7.215922,126.609442,10.080645,32.638487,7.523779,6.263013,11.159286,23.716105,0.183744,0.917409
42,13.483716,32.115391,6.232816,67.884609,75.38777,12.930723,31.160924,26.703866,43.016039,7.650372,7.67424,54.456787,11.979823,25.350225,8.366062,6.128512,12.601667,23.394721,0,1.133188
43,9.089571,33.444114,21.433256,66.555886,59.807727,18.570453,22.87695,24.572947,27.835211,3.956721,2.252758,0,15.33101,29.286525,4.053196,10.237006,8.976707,21.61609,0.479016,0.713119
44,18.020408,42.653526,20.936988,57.346474,72.195472,19.739639,21.174283,38.392794,47.056618,6.190798,2.485207,48.418972,7.762557,25.13921,4.737649,9.838403,9.934679,23.446636,1.195791,0.876692
45,10.804235,33.327456,19.446349,66.672544,59.467347,21.091173,21.643507,25.148277,35.574564,5.492316,3.357919,85.635865,13.361763,29.474544,3.968914,11.692699,10.606332,21.034282,0,0.867531
46,19.381855,35.339689,20.601651,64.66031,63.687131,22.132519,24.239441,39.604479,50.193798,9.43899,10.166585,302.175665,8.439898,30.16398,5.322252,13.626107,14.708909,23.778648,1.284484,1.08354
47,18.568642,41.33798,28.743359,58.66202,70.521658,26.623111,20.45733,36.327561,50.89568,6.360619,4.010239,75.170843,13.586957,49.924036,3.829169,7.587427,10.127636,23.416774,54.197933,1.049653
48,10.511409,18.405321,19.904439,81.594679,51.774926,10.77396,45.046854,9.160977,19.758683,2.874538,4.479003,45.986861,9.117647,23.305456,2.303096,5.502023,7.813563,22.758756,0,0.56992
49,9.193121,19.205049,20.889197,80.794951,51.433749,17.663301,36.206216,8.345791,21.774456,3.110371,4.297549,110.357422,11.221122,18.302614,2.482182,5.819513,6.882947,22.12275,0,0.63434
50,17.142337,39.19654,20.376831,60.80346,65.87054,25.440207,21.745706,38.846797,49.548193,8.261523,8.188412,91.481964,9.690554,28.015911,5.139951,12.756437,11.456942,23.680136,1160.31418,1.171519
51,15.146441,30.353809,8.561366,69.646191,75.998707,17.803712,23.626035,34.301675,47.292732,9.220185,8.506424,86.64703,23.971631,19.123206,6.669411,4.871884,13.047275,22.788438,0,0.925937
52,15.123857,23.933486,10.26916,76.066514,70.12712,11.969747,40.32007,19.879976,41.391195,5.628864,8.914729,14.616935,15.652174,19.853355,5.129108,4.995353,9.589732,23.906888,0,0.808319
53,12.338937,27.107548,15.083302,72.892452,64.711548,11.227346,34.654487,21.699815,28.497268,3.769256,6.153293,113.017154,16.79198,45.740898,4.229424,6.637657,8.469127,23.308943,79.498156,0.689652
54,9.446092,29.708809,19.542429,70.291191,49.767025,35.316157,14.646377,19.352542,38.691708,4.192027,2.75112,84.445467,16.542289,20.88482,2.864093,7.559694,8.011403,22.947561,4.420998,0.678777
55,22.567744,39.629642,13.880887,60.370358,73.871591,12.246312,28.724879,40.031634,46.908734,10.026492,10.221862,0,10.189573,30.250804,7.933645,10.205837,14.350424,22.060889,0,1.315713
56,16.503892,39.572751,22.648131,60.427249,67.187393,24.549654,19.330254,26.887624,49.415003,5.494168,4.221895,0,25.316456,13.797908,3.029729,8.801397,10.875371,23.052478,4.421342,0.886231
57,16.75014,39.95424,21.182582,60.04576,69.870064,14.01158,26.71078,44.59294,36.402095,5.251997,3.126066,0,10.769231,20.667801,4.654826,9.495075,10.489855,23.737977,49.634814,1.022834
58,23.842916,45.811308,22.007159,54.188692,74.36894,22.14275,23.348172,45.243949,55.807259,9.646703,6.516073,70.395371,8.051948,42.590008,6.560827,11.191462,14.114564,23.639944,2.204406,1.04278
59,15.980426,34.252679,20.009899,65.747321,58.951837,19.355735,24.55429,21.963202,54.690554,12.075628,7.209454,25.068368,12.99435,29.077747,1.873311,7.792277,13.146452,23.010361,0,0.688656
60,17.184496,33.363679,20.191175,66.636321,72.147491,27.253325,16.762436,38.33423,60.775758,8.805952,6.357237,41.864891,10.932476,18.079829,3.913734,10.026819,12.508128,23.632472,0.001526,0.952893
61,12.698942,17.051988,10.035877,82.948012,67.268097,14.035866,36.354224,16.556301,41.805813,5.173548,7.900247,71.678322,27.943485,24.061888,4.399503,4.578198,10.272719,23.559832,0,0.655115
